1000 1000
Q 453 475
Q 933 883
Q 394 1607
Q 1978 111
Q 38 1900
Q 378 137
Q 1617 1499
Q 1649 1663
Q 607 667
Q 112 328
Q 111 1423
Q 883 1118
Q 1423 1068
Q 1857 1046
Q 112 1813
Q 1352 1342
Q 538 579
Q 1565 1648
Q 405 730
Q 1648 1245
Q 855 1351
Q 730 968
Q 203 1373
Q 1171 1928
Q 1751 1878
Q 1675 744
Q 790 1619
Q 985 1423
Q 1096 1113
Q 885 1245
Q 203 177
Q 882 1738
Q 1981 1484
Q 40 44
Q 675 680
Q 1751 1881
Q 1595 423
Q 1432 382
Q 1423 734
Q 431 417
Q 1 1747
Q 1177 1141
Q 1001 1000
Q 71 1120
Q 1615 111
Q 537 1493
Q 386 509
Q 1773 1386
Q 89 54
Q 602 744
Q 66 1562
Q 981 883
Q 1362 1907
Q 1499 479
Q 1776 1703
Q 431 428
Q 431 272
Q 1670 1675
Q 786 1321
Q 1376 1245
Q 1245 530
Q 841 663
Q 635 718
Q 1072 1001
Q 1699 815
Q 687 1172
Q 1638 232
Q 1942 883
Q 431 361
Q 35 146
Q 764 744
Q 504 1170
Q 649 1171
Q 1423 1171
Q 1827 1751
Q 730 1855
Q 112 1889
Q 1592 1245
Q 1729 1711
Q 879 338
Q 1878 1001
Q 1000 851
Q 1001 1560
Q 509 1188
Q 1851 812
Q 1813 744
Q 112 1000
Q 1423 768
Q 1097 249
Q 826 1942
Q 112 861
Q 1708 1717
Q 1241 176
Q 262 420
Q 730 491
Q 1648 1174
Q 1591 1501
Q 707 1751
Q 1648 1638
Q 1622 427
Q 1789 879
Q 35 1930
Q 1763 793
Q 852 883
Q 1648 1849
Q 1001 1232
Q 1772 1827
Q 358 431
Q 1423 1001
Q 1501 1624
Q 1053 483
Q 112 314
Q 1648 1018
Q 287 825
Q 1690 3
Q 1967 747
Q 607 730
Q 1230 1245
Q 865 882
Q 702 1819
Q 387 1751
Q 1907 112
Q 1288 1245
Q 1701 1794
Q 268 769
Q 1966 1948
Q 112 1790
Q 1336 187
Q 841 1171
Q 866 1638
Q 1726 1621
Q 325 60
Q 1702 337
Q 1748 1917
Q 857 861
Q 1348 1739
Q 1942 1751
Q 1672 851
Q 1245 594
Q 1523 740
Q 337 1905
Q 1696 1477
Q 1656 1702
Q 1077 1049
Q 1710 1716
Q 1454 1440
Q 754 1727
Q 1648 333
Q 833 1000
Q 1216 1226
Q 1439 1713
Q 1545 112
Q 1696 250
Q 1107 429
Q 1516 1942
Q 1021 1315
Q 1572 1524
Q 364 1001
Q 106 112
Q 1085 1097
Q 111 1249
Q 1501 508
Q 431 952
Q 593 813
Q 378 677
Q 243 112
Q 1629 173
Q 916 1649
Q 410 431
Q 770 744
Q 1820 593
Q 1969 112
Q 1648 1994
Q 1423 3
Q 1 91
Q 1903 496
Q 965 1630
Q 1648 1247
Q 689 1751
Q 86 1070
Q 475 458
Q 112 841
Q 58 1171
Q 1015 112
Q 431 1417
Q 1766 1773
Q 508 554
Q 593 578
Q 402 935
Q 431 1570
Q 1171 187
Q 342 213
Q 1804 1942
Q 65 362
Q 1206 1244
Q 1500 57
Q 452 1549
Q 745 748
Q 490 602
Q 1791 1539
Q 762 744
Q 1000 441
Q 1687 508
Q 1263 9
Q 730 1499
Q 441 1423
Q 801 772
Q 1126 140
Q 407 253
Q 1137 1171
Q 605 728
Q 1703 1714
Q 1154 1172
Q 989 1000
Q 1942 412
Q 1001 1778
Q 198 1171
Q 112 256
Q 661 851
Q 1871 1911
Q 611 434
Q 112 1885
Q 112 999
Q 1983 1172
Q 1171 48
Q 1434 1424
Q 552 544
Q 761 1501
Q 1648 1501
Q 164 1775
Q 1155 846
Q 878 744
Q 619 898
Q 1511 1971
Q 594 1943
Q 86 1943
Q 1172 1199
Q 1080 2
Q 1572 764
Q 1755 111
Q 1321 431
Q 1770 1299
Q 840 593
Q 138 1687
Q 1393 1
Q 594 730
Q 824 1353
Q 1032 1702
Q 1000 996
Q 841 718
Q 1702 299
Q 1499 124
Q 1920 1942
Q 730 1729
Q 1716 91
Q 1913 1899
Q 976 925
Q 923 993
Q 457 480
Q 190 1244
Q 1676 1172
Q 1967 1990
Q 1423 1172
Q 770 1423
Q 1967 2000
Q 632 1887
Q 1501 1608
Q 139 982
Q 198 1563
Q 100 73
Q 908 1000
Q 1733 1625
Q 508 1001
Q 1895 1917
Q 810 744
Q 1805 743
Q 306 1001
Q 820 340
Q 1245 1042
Q 1658 1649
Q 1171 431
Q 1245 1168
Q 564 593
Q 404 1253
Q 1799 131
Q 269 1294
Q 1487 1471
Q 1648 324
Q 432 1064
Q 513 1291
Q 622 1311
Q 1148 1
Q 341 146
Q 1796 1032
Q 883 1914
Q 277 594
Q 43 19
Q 1766 1183
Q 457 686
Q 1423 882
Q 1942 1164
Q 1924 799
Q 1020 1055
Q 1423 1349
Q 431 359
Q 71 658
Q 60 1172
Q 1648 1501
Q 1349 1245
Q 431 649
Q 1685 21
Q 1122 574
Q 1000 527
Q 432 1739
Q 1423 1245
Q 1702 204
Q 1648 1268
Q 50 7
Q 840 820
Q 1424 731
Q 1696 1676
Q 431 225
Q 431 1222
Q 224 341
Q 1501 1906
Q 329 351
Q 1157 91
Q 1967 327
Q 1019 652
Q 507 111
Q 169 1423
Q 1751 1942
Q 1827 150
Q 1967 1997
Q 133 431
Q 1001 1062
Q 1924 50
Q 1244 1378
Q 1423 1338
Q 396 1920
Q 1325 1356
Q 112 453
Q 746 366
Q 593 1030
Q 1051 2000
Q 1942 1846
Q 1087 744
Q 1000 1251
Q 1967 1981
Q 112 137
Q 730 615
Q 1640 1423
Q 1141 1046
Q 744 102
Q 1953 1000
Q 188 146
Q 1751 1845
Q 905 936
Q 587 166
Q 957 112
Q 1751 1915
Q 431 983
Q 1691 1005
Q 1354 1000
Q 509 1007
Q 1376 1968
Q 1948 1387
Q 1564 836
Q 706 1229
Q 904 1237
Q 1423 75
Q 1000 811
Q 883 431
Q 260 431
Q 1124 1000
Q 61 400
Q 1869 883
Q 1480 1495
Q 1245 1581
Q 728 616
Q 1648 431
Q 1569 778
Q 504 480
Q 406 241
Q 1968 1983
Q 137 380
Q 1000 1001
Q 1423 453
Q 1401 1255
Q 452 435
Q 402 1952
Q 1 30
Q 1191 1148
Q 1799 1994
Q 882 1500
Q 1372 677
Q 1433 613
Q 112 1001
Q 313 907
Q 1985 1467
Q 272 431
Q 419 1001
Q 358 1570
Q 541 594
Q 730 1648
Q 1278 419
Q 1451 1467
Q 509 41
Q 1250 1625
Q 1441 1266
Q 161 112
Q 332 197
Q 112 1935
Q 495 1997
Q 1688 1438
Q 112 395
Q 431 391
Q 730 616
Q 970 840
Q 1782 1245
Q 230 188
Q 112 122
Q 1894 1
Q 1942 1751
Q 840 781
Q 1429 1424
Q 1799 1318
Q 1424 185
Q 1966 1133
Q 305 1324
Q 730 604
Q 594 419
Q 1751 1001
Q 1134 364
Q 1171 238
Q 1465 668
Q 439 1501
Q 1839 840
Q 775 453
Q 1943 58
Q 754 834
Q 1877 1900
Q 71 324
Q 431 328
Q 112 866
Q 1609 1437
Q 453 1171
Q 1001 1684
Q 750 841
Q 1702 1669
Q 302 112
Q 1734 1648
Q 592 593
Q 1171 1071
Q 1853 1879
Q 691 720
Q 692 1423
Q 1360 727
Q 1684 1501
Q 1191 226
Q 1751 1481
Q 1972 1985
Q 1755 1787
Q 111 52
Q 231 1643
Q 1649 1454
Q 1501 695
Q 1217 786
Q 684 37
Q 930 881
Q 524 557
Q 93 111
Q 730 1207
Q 1942 641
Q 1500 1942
Q 1687 314
Q 609 594
Q 102 1000
Q 561 143
Q 1171 1719
Q 1001 1501
Q 1 99
Q 1831 1245
Q 1 951
Q 1547 1037
Q 112 677
Q 918 141
Q 1648 298
Q 1293 1485
Q 1837 1090
Q 187 128
Q 737 741
Q 1735 452
Q 1918 1748
Q 1154 1057
Q 1550 998
Q 1165 1064
Q 112 431
Q 1524 1511
Q 341 883
Q 203 431
Q 1245 1620
Q 1424 577
Q 470 642
Q 619 490
Q 1000 1245
Q 1424 636
Q 431 1522
Q 635 708
Q 1997 131
Q 913 92
Q 1427 1942
Q 681 1186
Q 1244 31
Q 253 593
Q 1891 1
Q 859 882
Q 1648 111
Q 730 233
Q 506 682
Q 1172 1751
Q 594 431
Q 1573 1171
Q 1000 1430
Q 1507 308
Q 112 1465
Q 1244 1847
Q 431 1852
Q 328 489
Q 655 1000
Q 1183 883
Q 356 715
Q 431 573
Q 745 765
Q 1161 1972
Q 1123 1269
Q 704 1245
Q 410 807
Q 102 1245
Q 781 746
Q 112 1649
Q 1880 1245
Q 1446 1423
Q 1171 802
Q 610 781
Q 829 368
Q 183 947
Q 1244 1501
Q 1312 784
Q 892 575
Q 1244 1424
Q 714 840
Q 1000 713
Q 730 1725
Q 81 75
Q 1832 275
Q 760 961
Q 1904 1943
Q 746 744
Q 508 1942
Q 1883 1126
Q 1324 472
Q 1249 1171
Q 873 1198
Q 111 1337
Q 1774 1771
Q 593 1499
Q 923 473
Q 406 431
Q 744 502
Q 1877 2000
Q 1751 1000
Q 431 1690
Q 1805 951
Q 342 1828
Q 1214 1184
Q 883 533
Q 602 696
Q 1482 1590
Q 1626 1600
Q 431 207
Q 947 883
Q 1757 1365
Q 1748 1872
Q 1228 1193
Q 1000 1692
Q 883 585
Q 888 952
Q 1875 1809
Q 594 952
Q 521 594
Q 694 660
Q 1424 730
Q 24 1
Q 883 1953
Q 15 204
Q 1160 776
Q 1703 1724
Q 1716 918
Q 1242 1266
Q 338 1497
Q 112 1961
Q 593 329
Q 1501 1040
Q 112 696
Q 183 367
Q 1423 578
Q 1680 739
Q 1171 801
Q 550 1230
Q 440 1114
Q 1245 620
Q 1942 970
Q 57 1265
Q 1244 1942
Q 1384 508
Q 1594 730
Q 1535 1648
Q 1751 1810
Q 425 300
Q 112 1336
Q 1250 111
Q 1735 1134
Q 735 1266
Q 840 1712
Q 309 1044
Q 1751 1756
Q 1751 432
Q 1501 1575
Q 1988 593
Q 50 1157
Q 643 1878
Q 324 1648
Q 391 89
Q 921 1424
Q 62 1110
Q 1024 1751
Q 662 901
Q 431 204
Q 1501 1810
Q 1648 183
Q 858 880
Q 1424 431
Q 1889 301
Q 1172 111
Q 1142 1125
Q 1026 113
Q 431 322
Q 1817 1942
Q 202 312
Q 978 883
Q 1942 1001
Q 1554 126
Q 1528 1510
Q 666 112
Q 267 1062
Q 1716 1423
Q 999 1607
Q 594 730
Q 1245 472
Q 1649 1702
Q 1769 1711
Q 1514 883
Q 593 540
Q 465 225
Q 1702 431
Q 730 1631
Q 730 840
Q 1171 1150
Q 554 593
Q 697 407
Q 1424 1896
Q 1423 815
Q 1471 1795
Q 1308 928
Q 1922 912
Q 892 1019
Q 1750 1569
Q 690 1422
Q 491 977
Q 1751 1781
Q 344 208
Q 1484 509
Q 1054 541
Q 1737 1731
Q 841 1586
Q 112 1889
Q 1756 1813
Q 1172 946
Q 708 1501
Q 1751 1172
Q 362 232
Q 877 750
Q 1001 803
Q 1648 174
Q 112 1338
Q 833 744
Q 1344 1171
Q 1109 1864
Q 744 594
Q 312 1648
Q 441 1001
Q 1265 1851
Q 1423 1172
Q 1244 528
Q 1357 1245
Q 1268 1895
Q 994 960
Q 901 884
Q 704 675
Q 730 733
Q 432 1526
Q 1291 840
Q 508 1741
Q 79 63
Q 408 1245
Q 1099 1021
Q 1244 1996
Q 382 431
Q 111 779
Q 1432 1262
Q 1304 1423
Q 1171 1086
Q 1034 1319
Q 1003 103
Q 962 432
Q 431 988
Q 583 1207
Q 452 1339
Q 1966 1273
Q 1966 1958
Q 744 1060
Q 1942 872
Q 1841 645
Q 1701 1678
Q 864 850
Q 664 36
Q 1536 1648
Q 395 1505
Q 1295 431
Q 1948 20
Q 431 486
Q 250 464
Q 1715 1735
Q 1305 638
Q 111 1299
Q 454 1001
Q 1751 1794
Q 1535 1173
Q 1501 686
Q 1197 1981
Q 1423 1134
Q 1000 1568
Q 1574 152
Q 1430 1448
Q 1000 883
Q 904 883
Q 603 841
Q 1171 1387
Q 1741 112
Q 1576 730
Q 1924 1811
Q 1843 1891
Q 973 1000
Q 1769 1800
Q 1396 881
Q 995 1330
Q 1170 1077
Q 112 1751
Q 1 1356
Q 111 811
Q 1684 1676
Q 1001 466
Q 1854 1915
Q 452 434
Q 1942 1751
Q 46 1885
Q 508 1171
Q 1129 1794
Q 136 707
Q 184 1528
